Age,AgeGroup,Attrition,AttritionFlag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,SatisfactionGroup,MaritalStatus,MonthlyIncome,IncomeGroup,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,35-44,No,0,Travel_Frequently,$754,Research & Development,11 km,3,Medical,1,2,Female,$64,3,3,Healthcare Representative,1,Low,Single,"$11,171",High Income,"$11,157",3,No,13,4,3,2,20,2,1,5,5-9 Years,0,2,5
56,55+,No,0,Travel_Rarely,$878,Research & Development,5 km,3,Other,2,3,Female,$62,1,1,Research Scientist,1,Low,Married,"$7,620",High Income,"$21,692",4,No,11,3,3,1,31,5,1,4,2-4 Years,0,2,4
29,25-34,Yes,1,Travel_Rarely,$335,Sales,16 km,3,Marketing,3,4,Male,$53,1,2,Sales Executive,1,Low,Married,"$9,785",High Income,"$10,093",2,No,13,3,2,1,9,3,1,2,2-4 Years,0,1,1
41,35-44,No,0,Travel_Rarely,$129,Research & Development,10 km,3,Other,4,1,Male,$83,4,1,Research Scientist,1,Low,Married,"$5,930",Middle Income,"$9,713",7,Yes,12,3,2,1,17,5,1,2,2-4 Years,0,0,1
51,45-54,No,0,Travel_Rarely,$474,Research & Development,1 km,3,Technical Degree,5,2,Female,$96,2,1,Laboratory Technician,4,Very High,Single,"$4,901",Low Income,"$22,207",4,No,11,3,4,3,31,3,1,1,0-1 Years,0,1,1
35,35-44,No,0,Travel_Rarely,"$1,486",Research & Development,1 km,3,Technical Degree,6,2,Female,$95,4,3,Laboratory Technician,3,High,Divorced,"$11,638",High Income,"$25,825",1,No,14,3,2,0,12,1,1,12,10+ Years,0,0,4
25,25-34,Yes,1,Travel_Rarely,"$1,459",Sales,9 km,3,Life Sciences,7,4,Female,$64,2,2,Sales Executive,1,Low,Married,"$10,064",High Income,"$10,073",3,No,11,4,1,0,6,4,1,6,5-9 Years,6,1,0
49,45-54,Yes,1,Travel_Rarely,"$1,276",Sales,8 km,3,Technical Degree,8,2,Male,$37,3,2,Sales Representative,1,Low,Married,"$9,012",High Income,"$25,126",2,No,15,3,3,0,24,6,1,8,5-9 Years,2,3,1
53,45-54,No,0,Travel_Rarely,$194,Research & Development,29 km,3,Other,9,4,Female,$63,3,3,Research Scientist,2,Medium,Divorced,"$16,057",High Income,"$24,051",4,No,22,3,4,1,34,1,1,9,5-9 Years,1,1,5
28,25-34,No,0,Travel_Rarely,$111,Research & Development,1 km,3,Technical Degree,10,4,Male,$56,1,1,Healthcare Representative,4,Very High,Divorced,"$6,955",Middle Income,"$8,304",2,No,16,3,3,1,5,1,1,0,0-1 Years,0,0,0
39,35-44,No,0,Non-Travel,$632,Sales,8 km,3,Technical Degree,11,1,Female,$42,1,3,Sales Executive,3,High,Single,"$10,407",High Income,"$12,900",4,Yes,18,3,1,0,15,2,1,6,5-9 Years,5,2,0
42,35-44,No,0,Travel_Frequently,$723,Research & Development,17 km,3,Medical,12,1,Male,$84,3,2,Research Director,3,High,Married,"$12,166",High Income,"$5,516",2,No,12,4,3,3,19,5,1,0,0-1 Years,0,0,0
26,25-34,Yes,1,Travel_Rarely,$479,Research & Development,2 km,3,Medical,13,2,Male,$85,4,2,Research Scientist,1,Low,Married,"$10,251",High Income,"$17,896",2,Yes,15,3,3,0,0,5,1,0,0-1 Years,0,0,0
40,35-44,No,0,Non-Travel,$118,Sales,10 km,3,Other,14,3,Female,$51,3,1,Sales Representative,2,Medium,Married,"$6,108",Middle Income,"$22,650",3,Yes,11,3,1,0,18,5,1,2,2-4 Years,1,2,2
18,Under 25,Yes,1,Non-Travel,$435,Research & Development,1 km,3,Life Sciences,15,1,Female,$50,4,2,Healthcare Representative,4,Very High,Single,"$7,955",High Income,"$26,082",1,Yes,11,3,4,0,0,0,1,0,0-1 Years,0,0,0
34,25-34,No,0,Travel_Rarely,$620,Research & Development,3 km,3,Other,16,4,Female,$36,3,4,Manager,3,High,Married,"$14,892",High Income,"$3,148",1,No,11,3,3,2,16,0,1,10,10+ Years,3,0,3
40,35-44,Yes,1,Travel_Rarely,$923,Human Resources,25 km,3,Life Sciences,17,1,Female,$72,4,2,Manager,1,Low,Married,"$6,015",Middle Income,"$25,732",3,Yes,11,3,2,1,13,4,1,1,0-1 Years,1,1,0
54,45-54,No,0,Travel_Rarely,$210,Research & Development,12 km,3,Medical,18,4,Male,$49,2,5,Laboratory Technician,2,Medium,Married,"$15,849",High Income,"$4,979",5,No,19,3,1,0,33,0,1,15,10+ Years,0,1,1
20,Under 25,No,0,Travel_Rarely,$299,Sales,5 km,3,Life Sciences,19,2,Male,$65,2,2,Manager,1,Low,Divorced,"$11,103",High Income,"$18,305",4,No,11,4,1,1,0,5,1,0,0-1 Years,0,0,0
38,35-44,No,0,Travel_Rarely,"$1,403",Sales,10 km,3,Technical Degree,20,3,Male,$89,3,1,Sales Representative,4,Very High,Married,"$8,293",High Income,"$3,541",1,No,17,3,3,0,11,4,1,4,2-4 Years,0,3,3
36,35-44,No,0,Travel_Rarely,$987,Research & Development,4 km,3,Other,21,3,Female,$79,2,1,Research Director,2,Medium,Married,"$6,750",Middle Income,"$15,189",1,Yes,16,3,4,0,12,2,1,0,0-1 Years,0,0,0
34,25-34,No,0,Travel_Rarely,"$1,009",Research & Development,27 km,3,Medical,22,1,Female,$35,4,2,Manager,2,Medium,Married,"$9,033",High Income,"$13,674",4,Yes,17,4,3,3,17,6,1,3,2-4 Years,2,3,1
43,35-44,No,0,Travel_Rarely,"$1,040",Research & Development,1 km,3,Other,23,1,Male,$47,4,3,Laboratory Technician,1,Low,Married,"$11,082",High Income,"$17,301",0,No,12,3,4,0,16,3,1,7,5-9 Years,7,1,2
59,55+,Yes,1,Travel_Rarely,$592,Research & Development,11 km,3,Medical,24,3,Male,$44,3,1,Laboratory Technician,4,Very High,Married,"$6,444",Middle Income,"$14,469",1,No,21,4,3,0,38,1,1,0,0-1 Years,0,0,0
47,45-54,No,0,Travel_Rarely,"$1,491",Research & Development,11 km,3,Technical Degree,25,2,Male,$71,1,1,Manager,2,Medium,Divorced,"$9,037",High Income,"$25,752",4,Yes,18,3,4,2,24,3,1,1,0-1 Years,1,1,1
