Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,No,Travel_Rarely,984,Research & Development,14.0,2.0,Life Sciences,1,1424,2.0,,87,3,3,Laboratory Technician,4.0,Single,13419.0,26202,0.0,Y,No,13,3,3,80,1,31.0,1,4.0,8,4,1,2
52,no,Travel_Rarely,1086,Research & Development,2.0,2.0,LIFE SCIENCES,1,1003,2.0,Male,58,3,1,Laboratory Technician,1.0,Married,10323.0,26403,0.0,Y,No,15,3,4,80,0,29.0,2,3.0,2,0,1,0
21,Yes,Travel_Frequently,748,Research & Development,4.0,3.0,life sciences,1,89,2.0,Female,77,4,2,healthcare representative,3.0,Married,10034.0,24023,0.0,Y,No,13,4,4,80,3,0.0,0,2.0,0,0,0,0
35,No,Travel_Rarely,505,Research & Development,3.0,3.0,Technical Degree,1,1122,2.0,Male,76,2,1,healthcare representative,1.0,MARRIED,10118.0,6033,1.0,Y,Yes,21,3,2,80,0,10.0,0,3.0,0,0,0,0
32,No,Travel_Rarely,604,Research & Development,8.0,3.0,Other,1,962,4.0,Female,61,2,3,Healthcare Representative,3.0,married,13271.0,4569,3.0,Y,No,15,4,1,80,0,6.0,3,3.0,6,1,0,6
42,No,travel_frequently,877,Research & Development,14.0,2.0,  Other  ,1,1321,1.0,Female,78,1,2,  Manufacturing Director  ,3.0,DIVORCED,12590.0,8871,2.0,Y,No,15,3,4,80,1,23.0,3,2.0,3,3,3,1
34,No,Travel_Rarely,772,,10.0,3.0,Other,1,1244,3.0,Male,93,2,2,MANAGER,4.0,Married,7245.0,23424,2.0,Y,No,14,3,3,80,1,10.0,2,3.0,4,0,0,4
36,no,Travel_Frequently,846,Sales,1.0,2.0,OTHER,1,1189,3.0,Male,48,2,1,MANAGER,2.0,Single,8724.0,2448,0.0,Y,no,14,3,4,80,1,14.0,1,4.0,2,2,0,2
25,No,Travel_Rarely,546,Research & Development,1.0,2.0,OTHER,1,1343,1.0,Male,37,3,2,Healthcare Representative,4.0,Married,8580.0,4595,2.0,Y,Yes,17,3,2,80,0,0.0,5,3.0,0,0,0,0
41,No,Travel_Rarely,551,Sales,26.0,2.0,Marketing,1,892,1.0,Female,94,4,1,SALES REPRESENTATIVE,2.0,Divorced,6406.0,20211,3.0,Y,Yes,15,3,3,80,0,19.0,0,3.0,0,0,0,0
52,No,TRAVEL_RARELY,766,human resources,2.0,4.0,Human Resources,1,872,4.0,Female,53,3,1,Human Resources,4.0,Married,5289.0,4059,2.0,Y,No,18,3,3,80,0,22.0,3,3.0,2,0,0,1
39,Yes,Non-Travel,156,Sales,7.0,2.0,Life Sciences,1,674,4.0,Female,78,3,2,Sales Representative,1.0,MARRIED,10533.0,16331,3.0,Y,No,14,3,2,80,1,17.0,5,2.0,0,0,0,0
38,no,Travel_Frequently,356,Research & Development,12.0,3.0,  Life Sciences  ,1,1009,3.0,Male,56,4,2,Laboratory Technician,3.0,Married,8128.0,22762,2.0,Y,No,18,3,1,80,1,17.0,3,,1,1,0,1
42,No,TRAVEL_RARELY,1278,Sales,15.0,3.0,Other,1,944,3.0,Male,80,4,2,Sales Executive,4.0,Married,8826.0,10433,3.0,Y,No,14,3,3,80,0,19.0,3,3.0,3,0,3,3
42,No,Travel_Rarely,659,Research & Development,9.0,3.0,Medical,1,289,1.0,Male,37,2,2,Research Director,4.0,Single,9348.0,15416,2.0,Y,No,14,3,3,80,2,21.0,2,3.0,3,0,3,3
34,No,Travel_Rarely,1192,RESEARCH & DEVELOPMENT,2.0,3.0,Medical,1,500,3.0,Male,75,1,2,research director,2.0,MARRIED,9169.0,16258,5.0,Y,N,18,3,1,80,2,12.0,2,3.0,2,2,2,2
23,No,Travel_Rarely,776,Research & Development,1.0,2.0,life sciences,1,540,,Female,31,1,2,LABORATORY TECHNICIAN,1.0,Divorced,9210.0,25534,1.0,Y,No,15,3,2,80,1,0.0,1,2.0,0,0,0,0
30,No,Travel_Rarely,820,Research & Development,6.0,3.0,Technical Degree,1,136,2.0,Female,75,2,3,Manufacturing Director,2.0,Divorced,11358.0,21894,3.0,Y,No,18,3,1,80,0,12.0,5,3.0,6,2,1,2
52,Yes,Travel_Frequently,1001,Research & Development,9.0,3.0,Medical,1,1457,3.0,Female,54,1,2,manager,1.0,Single,8558.0,15755,3.0,Y,No,18,3,4,80,0,32.0,3,2.0,2,0,2,0
38,Yes,Travel_Rarely,996,Sales,1.0,3.0,other,1,1453,4.0,Male,45,1,2,Manager,2.0,Married,10429.0,21979,3.0,Y,No,17,3,1,80,0,13.0,0,4.0,3,0,2,0
49,No,Travel_Rarely,188,Research & Development,7.0,2.0,MEDICAL,1,532,1.0,Female,65,4,3,Manager,1.0,Married,13329.0,22022,1.0,Y,no,11,3,3,80,1,21.0,6,2.0,5,0,5,1
29,No,  Travel_Frequently  ,1279,Sales,12.0,4.0,LIFE SCIENCES,1,71,2.0,Female,32,4,2,Manager,3.0,Single,9422.0,10001,2.0,Y,no,12,3,1,80,0,4.0,5,3.0,4,4,0,3
32,No,Travel_Rarely,474,RESEARCH & DEVELOPMENT,5.0,1.0,Medical,1,321,4.0,Male,71,3,1,Manufacturing Director,3.0,Married,6550.0,15738,2.0,Y,Yes,14,3,2,80,0,6.0,2,3.0,3,0,1,1
55,No,TRAVEL_RARELY,1213,Research & Development,1.0,,Technical Degree,1,591,1.0,Male,82,4,2,Healthcare Representative,2.0,DIVORCED,9339.0,18970,2.0,Y,N,11,3,2,80,1,33.0,6,3.0,3,3,2,2
27,No,Travel_Rarely,1460,Research & Development,1.0,,Other,1,218,4.0,Male,56,2,2,MANAGER,3.0,single,12329.0,12692,5.0,Y,No,16,3,2,80,3,5.0,5,3.0,5,5,2,2
46,yes,Travel_Frequently,1113,,1.0,1.0,technical degree,1,280,2.0,Female,60,3,3,Manager,2.0,Married,13317.0,16437,,Y,no,11,3,3,80,2,23.0,6,3.0,8,2,0,1
24,No,NON-TRAVEL,1092,Research & Development,21.0,1.0,Other,1,290,2.0,Female,60,3,2,Manager,4.0,Married,8060.0,12000,0.0,Y,no,15,3,3,80,0,3.0,5,3.0,3,0,1,0
49,Yes,Travel_Frequently,1491,RESEARCH & DEVELOPMENT,11.0,3.0,Life Sciences,1,1247,2.0,Female,98,4,1,Laboratory Technician,1.0,Married,6331.0,23706,4.0,Y,No,19,3,1,80,0,27.0,2,4.0,0,0,0,0
25,no,Travel_Rarely,492,research & development,7.0,5.0,Technical Degree,1,354,3.0,Female,42,3,1,Manager,1.0,DIVORCED,6379.0,9660,1.0,Y,No,15,3,1,80,0,0.0,4,2.0,0,0,0,0
34,No,Travel_Rarely,1184,Sales,19.0,2.0,Other,1,423,4.0,Male,80,2,4,Sales Representative,1.0,married,15519.0,22305,2.0,Y,no,16,3,1,80,0,16.0,0,2.0,16,2,1,0
48,No,TRAVEL_RARELY,792,research & development,8.0,2.0,TECHNICAL DEGREE,1,1066,2.0,Male,73,3,2,Research Director,3.0,Married,13173.0,9187,1.0,Y,no,12,3,2,80,1,27.0,0,3.0,9,9,7,3
43,no,Travel_Rarely,384,Sales,8.0,3.0,Marketing,1,656,3.0,Male,79,3,1,Sales Executive,1.0,Married,8250.0,18067,3.0,Y,No,17,3,3,80,0,22.0,0,3.0,0,0,0,0
